latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.240234,7.1436157,2191.73,7200,Europe/Zurich,GMT+2

time,temperature_2m (°C),snowfall (cm),rain (mm),snow_depth (m),precipitation (mm),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),sunshine_duration (s),cloud_cover (%)
2008-12-23T00:00,-8.2,0.00,0.00,1.86,0.00,1.4,1.4,72,122,7.9,0.00,4
2008-12-23T01:00,-8.4,0.00,0.00,1.86,0.00,2.2,2.2,346,108,4.7,0.00,7
2008-12-23T02:00,-8.4,0.00,0.00,1.86,0.00,2.5,2.5,354,98,5.4,0.00,5
2008-12-23T03:00,-8.4,0.00,0.00,1.86,0.00,2.5,2.5,348,96,8.3,0.00,2
2008-12-23T04:00,-8.5,0.00,0.00,1.86,0.00,2.9,2.9,348,68,5.8,0.00,0
2008-12-23T05:00,-8.5,0.00,0.00,1.86,0.00,2.5,2.5,350,78,6.1,0.00,1
2008-12-23T06:00,-8.3,0.00,0.00,1.86,0.00,2.9,2.9,344,56,8.3,0.00,1
2008-12-23T07:00,-8.5,0.00,0.00,1.86,0.00,2.5,2.5,346,84,6.1,0.00,0
2008-12-23T08:00,-8.4,0.00,0.00,1.86,0.00,1.8,1.8,352,132,5.4,0.00,0
2008-12-23T09:00,-9.0,0.00,0.00,1.83,0.00,1.8,1.8,26,126,7.9,0.00,0
2008-12-23T10:00,-8.7,0.00,0.00,1.83,0.00,1.4,1.4,16,116,5.0,57.96,0
2008-12-23T11:00,-7.5,0.00,0.00,1.83,0.00,1.8,1.8,12,116,4.7,3600.00,1
2008-12-23T12:00,-6.1,0.00,0.00,1.83,0.00,2.2,2.2,24,128,8.6,3600.00,2
2008-12-23T13:00,-4.5,0.00,0.00,1.83,0.00,1.4,1.4,102,152,3.2,3600.00,3
2008-12-23T14:00,-3.2,0.00,0.00,1.83,0.00,1.1,1.1,46,128,1.8,3600.00,2
2008-12-23T15:00,-2.7,0.00,0.00,1.83,0.00,1.4,1.4,58,128,3.6,3600.00,3
2008-12-23T16:00,-3.2,0.00,0.00,1.83,0.00,1.8,1.8,8,118,1.8,3600.00,2
2008-12-23T17:00,-4.4,0.00,0.00,1.83,0.00,4.0,4.0,336,28,4.0,3600.00,2
2008-12-23T18:00,-6.4,0.00,0.00,1.83,0.00,2.9,2.9,4,138,6.5,57.25,0
2008-12-23T19:00,-7.3,0.00,0.00,1.83,0.00,2.9,2.9,2,134,5.0,0.00,0
2008-12-23T20:00,-7.7,0.00,0.00,1.83,0.00,4.3,4.3,352,66,6.8,0.00,0
2008-12-23T21:00,-7.6,0.00,0.00,1.83,0.00,5.0,5.0,358,54,10.1,0.00,0
2008-12-23T22:00,-7.8,0.00,0.00,1.83,0.00,3.2,3.2,30,72,7.6,0.00,0
2008-12-23T23:00,-7.9,0.00,0.00,1.83,0.00,3.6,3.6,24,72,6.5,0.00,0
2008-12-24T00:00,-8.5,0.00,0.00,1.83,0.00,4.7,4.7,92,128,7.2,0.00,0
2008-12-24T01:00,-8.5,0.00,0.00,1.83,0.00,4.3,4.3,88,116,7.2,0.00,0
2008-12-24T02:00,-8.4,0.00,0.00,1.83,0.00,4.0,4.0,64,92,7.2,0.00,0
2008-12-24T03:00,-8.4,0.00,0.00,1.83,0.00,4.3,4.3,94,114,6.5,0.00,3
2008-12-24T04:00,-8.6,0.00,0.00,1.83,0.00,4.0,4.0,86,114,7.2,0.00,0
2008-12-24T05:00,-8.7,0.00,0.00,1.83,0.00,4.0,4.0,82,110,7.2,0.00,0
2008-12-24T06:00,-8.9,0.00,0.00,1.83,0.00,4.0,4.0,94,120,6.8,0.00,9
2008-12-24T07:00,-9.1,0.00,0.00,1.83,0.00,4.0,4.0,90,120,7.2,0.00,0
2008-12-24T08:00,-9.2,0.00,0.00,1.83,0.00,3.6,3.6,68,110,7.2,0.00,1
2008-12-24T09:00,-9.2,0.00,0.00,1.82,0.00,4.3,4.3,86,118,8.3,0.00,0
2008-12-24T10:00,-9.4,0.00,0.00,1.82,0.00,5.8,5.8,106,132,8.3,122.21,0
2008-12-24T11:00,-8.3,0.00,0.00,1.82,0.00,2.9,2.9,82,134,8.3,3600.00,5
2008-12-24T12:00,-6.7,0.00,0.00,1.82,0.00,3.2,3.2,88,116,9.0,3600.00,12
2008-12-24T13:00,-5.3,0.00,0.00,1.82,0.00,0.4,0.4,314,170,4.0,3600.00,4
2008-12-24T14:00,-4.5,0.00,0.00,1.82,0.00,7.9,7.9,320,350,8.6,3600.00,7
2008-12-24T15:00,-4.3,0.00,0.00,1.82,0.00,1.8,1.8,20,140,9.7,3600.00,2
2008-12-24T16:00,-4.6,0.00,0.00,1.82,0.00,0.4,0.4,226,202,1.8,3600.00,1
2008-12-24T17:00,-5.9,0.00,0.00,1.82,0.00,2.2,2.2,300,226,2.2,3600.00,2
2008-12-24T18:00,-7.9,0.00,0.00,1.82,0.00,0.7,0.7,276,174,5.8,131.94,0
2008-12-24T19:00,-8.8,0.00,0.00,1.82,0.00,2.9,2.9,288,216,5.4,0.00,0
2008-12-24T20:00,-9.2,0.00,0.00,1.82,0.00,6.1,6.1,310,288,9.0,0.00,0
2008-12-24T21:00,-9.5,0.00,0.00,1.82,0.00,12.6,12.6,312,322,14.4,0.00,28
2008-12-24T22:00,-9.6,0.00,0.00,1.82,0.00,14.4,14.4,316,324,18.7,0.00,4
2008-12-24T23:00,-10.0,0.00,0.00,1.82,0.00,14.0,14.0,316,328,24.8,0.00,33
2008-12-25T00:00,-9.4,0.00,0.00,1.82,0.00,8.3,8.3,314,326,23.4,0.00,51
2008-12-25T01:00,-8.6,0.00,0.00,1.82,0.00,7.6,7.6,296,304,12.6,0.00,25
2008-12-25T02:00,-8.8,0.00,0.00,1.82,0.00,13.0,13.0,304,312,18.4,0.00,60
2008-12-25T03:00,-8.0,0.00,0.00,1.82,0.00,13.3,13.3,302,312,22.7,0.00,60
2008-12-25T04:00,-7.4,0.00,0.00,1.82,0.00,14.0,14.0,302,314,23.0,0.00,79
2008-12-25T05:00,-6.6,0.00,0.00,1.82,0.00,15.5,15.5,298,310,24.8,0.00,74
2008-12-25T06:00,-7.0,0.00,0.00,1.82,0.00,16.6,16.6,312,326,28.1,0.00,50
2008-12-25T07:00,-8.2,0.00,0.00,1.82,0.00,12.6,12.6,316,338,30.2,0.00,65
2008-12-25T08:00,-7.8,0.00,0.00,1.82,0.00,9.0,9.0,300,326,18.7,0.00,94
2008-12-25T09:00,-7.8,0.00,0.00,1.79,0.00,9.0,9.0,324,324,11.9,0.00,100
2008-12-25T10:00,-7.9,0.07,0.00,1.79,0.10,6.8,6.8,336,8,21.6,0.00,100
2008-12-25T11:00,-7.7,0.14,0.00,1.80,0.20,2.9,2.9,120,160,11.2,0.00,100
2008-12-25T12:00,-7.3,0.21,0.00,1.80,0.30,16.6,16.6,114,100,30.2,0.00,65
2008-12-25T13:00,-6.4,0.00,0.00,1.80,0.00,23.8,23.8,98,90,46.4,3600.00,43
2008-12-25T14:00,-5.8,0.00,0.00,1.80,0.00,24.1,24.1,104,94,49.0,3600.00,0
2008-12-25T15:00,-6.3,0.00,0.00,1.80,0.00,19.8,19.8,102,94,44.3,3600.00,0
2008-12-25T16:00,-6.4,0.00,0.00,1.80,0.00,20.2,20.2,106,96,40.7,3600.00,0
2008-12-25T17:00,-7.2,0.00,0.00,1.80,0.00,16.9,16.9,102,94,40.0,3600.00,0
2008-12-25T18:00,-10.0,0.00,0.00,1.80,0.00,9.7,9.7,100,90,32.4,133.89,0
2008-12-25T19:00,-11.1,0.00,0.00,1.80,0.00,11.5,11.5,108,98,22.7,0.00,0
2008-12-25T20:00,-11.7,0.00,0.00,1.80,0.00,12.6,12.6,106,102,23.4,0.00,0
2008-12-25T21:00,-11.8,0.00,0.00,1.80,0.00,7.6,7.6,102,112,23.8,0.00,0
2008-12-25T22:00,-12.3,0.00,0.00,1.80,0.00,1.1,1.1,102,148,13.0,0.00,0
2008-12-25T23:00,-12.7,0.00,0.00,1.80,0.00,6.1,6.1,316,316,9.0,0.00,0
2008-12-26T00:00,-12.8,0.00,0.00,1.80,0.00,8.6,8.6,302,302,10.8,0.00,0
2008-12-26T01:00,-13.6,0.00,0.00,1.80,0.00,8.3,8.3,326,334,14.0,0.00,0
2008-12-26T02:00,-14.0,0.00,0.00,1.80,0.00,2.2,2.2,2,130,9.7,0.00,4
2008-12-26T03:00,-12.2,0.14,0.00,1.80,0.20,1.4,1.4,352,160,7.2,0.00,100
2008-12-26T04:00,-11.0,0.35,0.00,1.80,0.50,3.6,3.6,68,122,4.3,0.00,100
2008-12-26T05:00,-9.7,0.35,0.00,1.81,0.50,15.5,15.5,98,90,31.7,0.00,100
2008-12-26T06:00,-8.8,0.42,0.00,1.82,0.60,20.5,20.5,102,92,42.1,0.00,100
2008-12-26T07:00,-10.1,0.00,0.00,1.82,0.00,28.1,28.1,96,88,56.2,0.00,60
2008-12-26T08:00,-10.0,0.00,0.00,1.82,0.00,31.0,31.0,100,90,60.1,0.00,61
2008-12-26T09:00,-11.1,0.00,0.00,1.80,0.00,34.2,34.2,100,88,65.9,0.00,63
2008-12-26T10:00,-11.2,0.00,0.00,1.80,0.00,35.3,35.3,100,88,67.0,0.00,44
2008-12-26T11:00,-11.0,0.00,0.00,1.80,0.00,33.8,33.8,102,92,66.2,3600.00,28
2008-12-26T12:00,-10.7,0.00,0.00,1.80,0.00,30.6,30.6,108,98,58.3,3600.00,4
2008-12-26T13:00,-10.1,0.00,0.00,1.80,0.00,27.7,27.7,106,94,53.3,3600.00,22
2008-12-26T14:00,-9.4,0.00,0.00,1.80,0.00,26.6,26.6,110,98,50.0,3600.00,14
2008-12-26T15:00,-9.5,0.00,0.00,1.80,0.00,25.2,25.2,108,98,46.4,3600.00,11
2008-12-26T16:00,-9.8,0.00,0.00,1.80,0.00,26.6,26.6,106,96,49.0,3600.00,7
2008-12-26T17:00,-10.3,0.00,0.00,1.80,0.00,28.1,28.1,106,94,52.2,3600.00,0
2008-12-26T18:00,-11.3,0.00,0.00,1.79,0.00,28.1,28.1,106,98,51.5,0.00,0
2008-12-26T19:00,-11.6,0.00,0.00,1.79,0.00,28.4,28.4,102,94,52.2,0.00,0
2008-12-26T20:00,-11.8,0.00,0.00,1.79,0.00,27.7,27.7,104,94,52.6,0.00,0
2008-12-26T21:00,-12.1,0.00,0.00,1.79,0.00,23.0,23.0,102,98,48.6,0.00,0
2008-12-26T22:00,-12.1,0.00,0.00,1.79,0.00,23.4,23.4,102,94,42.8,0.00,0
2008-12-26T23:00,-12.0,0.00,0.00,1.79,0.00,22.3,22.3,102,96,42.1,0.00,0
2008-12-27T00:00,-12.4,0.00,0.00,1.79,0.00,19.8,19.8,100,94,39.6,0.00,0
2008-12-27T01:00,-12.6,0.00,0.00,1.79,0.00,19.1,19.1,102,94,36.4,0.00,0
2008-12-27T02:00,-12.7,0.00,0.00,1.79,0.00,18.7,18.7,104,96,35.6,0.00,0
2008-12-27T03:00,-13.2,0.00,0.00,1.79,0.00,17.6,17.6,100,96,36.0,0.00,0
2008-12-27T04:00,-14.2,0.00,0.00,1.79,0.00,14.4,14.4,106,104,32.0,0.00,0
2008-12-27T05:00,-14.8,0.00,0.00,1.79,0.00,11.5,11.5,106,108,25.2,0.00,0
2008-12-27T06:00,-15.0,0.00,0.00,1.79,0.00,10.4,10.4,102,104,20.9,0.00,0
2008-12-27T07:00,-15.2,0.00,0.00,1.79,0.00,9.4,9.4,106,108,18.7,0.00,0
2008-12-27T08:00,-15.4,0.00,0.00,1.79,0.00,7.6,7.6,112,120,16.6,0.00,0
2008-12-27T09:00,-16.0,0.00,0.00,1.76,0.00,1.1,1.1,72,156,11.2,0.00,0
2008-12-27T10:00,-16.2,0.00,0.00,1.76,0.00,1.4,1.4,80,138,4.0,117.55,0
2008-12-27T11:00,-15.1,0.00,0.00,1.76,0.00,1.1,1.1,144,152,4.3,3600.00,0
2008-12-27T12:00,-13.9,0.00,0.00,1.76,0.00,1.1,1.1,342,180,4.3,3600.00,0
2008-12-27T13:00,-11.9,0.00,0.00,1.76,0.00,0.7,0.7,236,170,1.4,3600.00,0
